Lastname,Forename,Subdomain,Type
Neupert,Titus,Condensed Matter Physics (PE3),Member
González,Leticia,Physical and Analytical Chemical Sciences (PE4),Member
Rasing,Theo,Condensed Matter Physics (PE3),Member
Gun'ko,Yurii,Physical and Analytical Chemical Sciences (PE4),Member
Ricci,Francesco,Condensed Matter Physics (PE3),Member
Keyser,Ulrich,Physical and Analytical Chemical Sciences (PE4),Member
Scandolo,Sandro,Condensed Matter Physics (PE3),Member
Kneipp,Janina,Physical and Analytical Chemical Sciences (PE4),Member
Schönenberger,Christian,Condensed Matter Physics (PE3),Member
Roithová,Jana,Physical and Analytical Chemical Sciences (PE4),Member
Yeomans,Julia,Condensed Matter Physics (PE3),Member
Rudolf,Petra,Physical and Analytical Chemical Sciences (PE4),Member
Kenneth,,Condensed Matter Physics (PE3),Member
Ruud,,Physical and Analytical Chemical Sciences (PE4),Member
Annabella,,Condensed Matter Physics (PE3),Member
Selloni,,Physical and Analytical Chemical Sciences (PE4),Member
Chaudret,Bruno,Synthetic Chemistry and Materials (PE5),Chair
Palanque,Philippe,Computer Science and Informatics (PE6),Chair
Chan,Barbara,Synthetic Chemistry and Materials (PE5),Member
Čapkun,Srđan,Computer Science and Informatics (PE6),Member
Field,Robert,Synthetic Chemistry and Materials (PE5),Member
Albers,Susanne,Computer Science and Informatics (PE6),Member
Friscic,Tomislav,Synthetic Chemistry and Materials (PE5),Member
Assent,Ira,Computer Science and Informatics (PE6),Member
Herdewyn,Piet,Synthetic Chemistry and Materials (PE5),Member
Blandford,Ann,Computer Science and Informatics (PE6),Member
Colin,Eva Hevia,Synthetic Chemistry and Materials (PE5),Member
Boyd,Alexander,Computer Science and Informatics (PE6),Member
Hey-Hawkins,Evamarie,Synthetic Chemistry and Materials (PE5),Member
Eeckhout,Lieven,Computer Science and Informatics (PE6),Member
Junkers,Tanja,Synthetic Chemistry and Materials (PE5),Member
Fahringer,Thomas,Computer Science and Informatics (PE6),Member
König,Burkhard,Synthetic Chemistry and Materials (PE5),Member
Gionis,Aristides,Computer Science and Informatics (PE6),Member
Manna,Liberato,Synthetic Chemistry and Materials (PE5),Member
Gurevych,Iryna,Computer Science and Informatics (PE6),Member
Matile,Stefan,Synthetic Chemistry and Materials (PE5),Member
Hermenegildo,Manuel,Computer Science and Informatics (PE6),Member
Meijer,Bert,Synthetic Chemistry and Materials (PE5),Member
Maffei,Matteo,Computer Science and Informatics (PE6),Member
Nadia,Véronique Michelet,Synthetic Chemistry and Materials (PE5),Member
Magnenat-Thalmann,,Computer Science and Informatics (PE6),Member
Otyepka,Michal,Synthetic Chemistry and Materials (PE5),Member
Pietikainen,Matti,Computer Science and Informatics (PE6),Member
Wong,Lydia,Synthetic Chemistry and Materials (PE5),Member
Ponce,Jean,Computer Science and Informatics (PE6),Member
Hannu,,Synthetic Chemistry and Materials (PE5),Member
Toivonen,,Computer Science and Informatics (PE6),Member
Pablo,,Synthetic Chemistry and Materials (PE5),Member
Varona,,Computer Science and Informatics (PE6),Member
Kennedy,Peter,Systems and Communication Engineering (PE7),Chair
Grätzel,Michael,Products and Processes Engineering (PE8),Chair
