Domain,Subdomain,Forename,Lastname,Fullname,Type
LS,Structures and Functions (LS1),Boris,Zhivotovsky,Boris D. Zhivotovsky,Member
LS,to Systems (LS2),Hinrich,Gronemeyer,Hinrich Gronemeyer,Chair
LS,to Systems (LS2),Chris,Bowler,Chris Bowler,Member
LS,to Systems (LS2),M.,Cardoso,M. Cristina Cardoso,Member
LS,to Systems (LS2),Johan,Elf,Johan Elf,Member
LS,to Systems (LS2),Laurence,Florens,Laurence A. Florens,Member
LS,to Systems (LS2),Franca,Fraternali,Franca Fraternali,Member
LS,to Systems (LS2),Niko,Geldner,Niko Geldner,Member
LS,to Systems (LS2),Ursula,Klingmüller,Ursula Klingmüller,Member
LS,to Systems (LS2),Nine,Knoers,Nine Knoers,Member
LS,to Systems (LS2),Minna,Kaikkonen-Määttä,Minna Kaikkonen-Määttä,Member
LS,to Systems (LS2),Jeroen,Raes,Jeroen Raes,Member
LS,to Systems (LS2),Peter,Verrijzer,Peter V. Verrijzer,Member
LS,to Systems (LS2),Johannes,Zuber,Johannes Zuber,Member
LS,to Systems (LS2),Development,Cell Biology,"Cell Biology, Development, Stem Cells and",Member
LS,Regeneration (LS3),Philip,Ingham,Philip Ingham,Chair
LS,Regeneration (LS3),Detlev,Arendt,Detlev Arendt,Member
LS,Regeneration (LS3),Laurent,Blanchoin,Laurent Blanchoin,Member
LS,Regeneration (LS3),Patricia,Boya,Patricia Boya,Member
LS,Regeneration (LS3),Sabine,Costagliola,Sabine Costagliola,Member
LS,Regeneration (LS3),Bert,De Rybel,Bert De Rybel,Member
LS,Regeneration (LS3),Rong,Li,Rong Li,Member
LS,Regeneration (LS3),Giorgio,Scita,Giorgio Scita,Member
LS,Regeneration (LS3),Anne,Spang,Anne Spang,Member
LS,Regeneration (LS3),Jens,Stougaard,Jens Stougaard,Member
LS,Regeneration (LS3),Flora,Vaccarino,Flora Vaccarino,Member
LS,Regeneration (LS3),Ludovic,Vallier,Ludovic Vallier,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Daniela,Cota,Daniela Cota,Chair
LS,"Physiology in Health, Disease and Ageing (LS4)",Catherine,Brenner,Catherine Brenner,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Cathrin,Brisken,Cathrin Brisken,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Yves,DeClerck,Yves DeClerck,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Mauro,Giacca,Mauro Giacca,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Peter,Hordijk,Peter Lodewijk Hordijk,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Ursula,Jakob,Ursula Jakob,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Diether,Lambrechts,Diether Lambrechts,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Alessandra,Moretti,Alessandra Moretti,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Niranjan,Nagarajan,Niranjan Nagarajan,Member
